date,position,seniority_number,birthdate,changes_id,serial_number,instructions,datetime_collected
2020-03-11,305,20051014,1959-09-13,363672,12106052,,2020-03-11 23:00
2020-03-11,799,20067009,1972-12-18,21823,12181281,,2020-03-11 23:00
2020-03-11,751,20065030,1952-08-07,424661,12174082,,2020-03-11 23:00
2020-03-11,669,20063017,1970-02-14,424403,12163073,,2020-03-11 23:00
2020-03-11,943,20072016,1995-06-01,417853,12205402,,2020-03-11 23:00
2020-03-11,181,20044019,1985-03-12,424437,12073949,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,802,20067012,1962-08-09,280595,12183918,,2020-03-11 23:00
2020-03-11,284,20050025,1965-03-21,362374,12101075,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,699,20064013,1973-10-03,37861,12169111,,2020-03-11 23:00
2020-03-11,96,20039016,1993-03-19,422291,12052925,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,857,20070018,1980-01-24,425058,12194571,,2020-03-11 23:00
2020-03-11,26,20036015,1988-07-15,301707,12036895,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,66,20038001,1967-09-05,23374,12049668,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,465,20056036,1962-05-11,40298,12127682,,2020-03-11 23:00
2020-03-11,231,20046036,1966-01-25,273930,12086362,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,51,20037004,1963-04-08,300383,12043989,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,138,20042022,1981-06-23,392737,12062498,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,795,20067005,1968-02-01,288240,12184519,,2020-03-11 23:00
2020-03-11,14,20035031,1947-01-28,390708,12033487,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,628,20061026,1960-08-11,373912,12154574,,2020-03-11 23:00
2020-03-11,550,20059006,1949-03-08,289363,12146267,,2020-03-11 23:00
2020-03-11,489,20057021,1954-12-28,32533,12135732,,2020-03-11 23:00
2020-03-11,706,20064020,1951-04-02,328756,12170366,,2020-03-11 23:00
2020-03-11,277,20050016,1955-11-01,9960,12097898,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,233,20046038,1960-06-18,400981,12084544,,2020-03-11 23:00
2020-03-11,27,20036016,1961-10-07,20887,12037126,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,8,20035020,1968-12-20,327711,12033635,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,227,20046031,1988-05-18,421157,12086415,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,458,20056029,1989-05-13,415587,12128212,,2020-03-11 23:00
2020-03-11,162,20043032,1951-12-07,362474,12069519,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,809,20067019,1990-05-25,387590,12183043,,2020-03-11 23:00
2020-03-11,622,20061020,1962-05-08,313558,12154612,,2020-03-11 23:00
2020-03-11,188,20044033,1970-04-27,306738,12078072,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,29,20036022,1956-08-25,415302,12037290,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,396,20054008,1963-05-18,23587,12120526,,2020-03-11 23:00
2020-03-11,598,20060022,1967-08-30,411157,12150140,,2020-03-11 23:00
2020-03-11,486,20057018,1970-07-17,416525,12133711,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,716,20064030,1993-03-02,423941,12166347,,2020-03-11 23:00
2020-03-11,655,20063003,1952-05-17,396612,12163234,,2020-03-11 23:00
2020-03-11,932,20072005,1959-09-23,295282,12203695,,2020-03-11 23:00
2020-03-11,49,20037002,1955-05-02,17745,12043475,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,818,20067028,1964-06-14,50891,12183695,,2020-03-11 23:00
2020-03-11,830,20068007,1954-08-01,425051,12187079,,2020-03-11 23:00
2020-03-11,964,20072037,1959-12-13,34953,12201948,,2020-03-11 23:00
2020-03-11,560,20059016,1998-08-05,424795,12144017,,2020-03-11 23:00
2020-03-11,414,20054026,1964-10-11,301387,12120417,,2020-03-11 23:00
2020-03-11,261,20049013,1965-12-30,424570,12095644,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,846,20070006,1988-11-02,314910,12192869,,2020-03-11 23:00
2020-03-11,909,20071018,1984-08-08,307705,12196860,,2020-03-11 23:00
2020-03-11,763,20066003,1971-07-04,419656,12178266,,2020-03-11 23:00
2020-03-11,435,20056005,1957-07-27,414844,12129786,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,914,20071024,1964-05-01,425059,12199987,,2020-03-11 23:00
2020-03-11,306,20051015,1962-05-27,354100,12105986,,2020-03-11 23:00
2020-03-11,317,20051026,1993-03-22,332364,12105749,,2020-03-11 23:00
2020-03-11,264,20050003,1940-02-28,56830,12098917,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,946,20072019,1992-04-23,423460,12202673,,2020-03-11 23:00
2020-03-11,501,20057034,1951-09-18,361225,12132371,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,853,20070013,1965-08-11,7395,12192489,,2020-03-11 23:00
2020-03-11,665,20063013,1961-10-09,52388,12162604,,2020-03-11 23:00
2020-03-11,923,20071033,1969-02-24,425110,12197966,,2020-03-11 23:00
2020-03-11,267,20050006,1973-02-03,367279,12099413,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,825,20068002,1991-02-20,422248,12187123,,2020-03-11 23:00
2020-03-11,758,20065037,1981-12-27,386722,12171103,,2020-03-11 23:00
2020-03-11,493,20057026,1970-09-06,291547,12134341,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,343,20052012,1964-12-18,393979,12113402,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,250,20048006,1977-09-26,415030,12091108,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,648,20062011,1968-04-28,424016,12158685,,2020-03-11 23:00
2020-03-11,158,20043024,1965-10-26,424431,12070155,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,848,20070008,1988-02-13,310656,12192707,,2020-03-11 23:00
2020-03-11,478,20057010,1985-11-04,322045,12133762,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,775,20066015,1962-10-18,6812,12179866,,2020-03-11 23:00
2020-03-11,838,20069008,1958-09-16,32092,12189500,,2020-03-11 23:00
2020-03-11,212,20046008,1998-05-17,407255,12084338,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,668,20063016,1988-12-09,423234,12162917,,2020-03-11 23:00
2020-03-11,805,20067015,1966-12-05,415648,12182244,,2020-03-11 23:00
2020-03-11,126,20042001,1951-07-05,35869,12065176,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,364,20053003,1970-12-08,38670,12118200,,2020-03-11 23:00
2020-03-11,536,20058021,1978-05-31,406257,12137651,,2020-03-11 23:00
2020-03-11,23,20036012,1962-09-04,300345,12036945,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,431,20056001,1957-07-05,362884,12128219,,2020-03-11 23:00
2020-03-11,443,20056013,1971-10-14,387896,12129974,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,87,20038035,1944-09-17,44434,12049684,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,301,20051009,1964-10-19,17644,12105687,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,788,20066028,1965-10-24,419888,12175895,,2020-03-11 23:00
2020-03-11,789,20066030,1994-09-19,367062,12177071,,2020-03-11 23:00
2020-03-11,859,20070020,1957-05-02,6414,12190966,,2020-03-11 23:00
2020-03-11,657,20063005,1959-08-26,20453,12160386,,2020-03-11 23:00
2020-03-11,739,20065018,1952-08-31,409970,12171330,,2020-03-11 23:00
2020-03-11,110,20039042,1972-11-30,419035,12052252,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,714,20064028,1956-06-14,368809,12169231,,2020-03-11 23:00
2020-03-11,21,20036009,1971-11-02,368912,12038328,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,472,20057003,1988-08-30,424712,12136245,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,397,20054009,1990-07-14,320041,12120244,,2020-03-11 23:00
2020-03-11,386,20053027,1959-01-07,41097,12116138,,2020-03-11 23:00
2020-03-11,13,20035030,1988-10-14,350545,12031894,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,510,20057043,1961-07-09,381861,12132404,,2020-03-11 23:00
2020-03-11,673,20063021,1980-04-22,422849,12160351,,2020-03-11 23:00
2020-03-11,367,20053007,1966-07-29,414363,12115962,,2020-03-11 23:00
2020-03-11,232,20046037,1971-06-30,313461,12083663,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,2,20033006,1981-05-27,24104,12024464,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,6,20035017,1968-07-18,418134,12033212,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,92,20039005,1990-03-16,395904,12053155,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,912,20071021,1980-06-18,17285,12198065,,2020-03-11 23:00
2020-03-11,768,20066008,1977-11-29,404444,12178684,,2020-03-11 23:00
2020-03-11,10,20035024,1954-01-06,299903,12031330,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,872,20070033,1982-05-17,408724,12191778,,2020-03-11 23:00
2020-03-11,450,20056020,1959-04-15,353919,12128921,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,742,20065021,1968-10-11,309859,12172518,,2020-03-11 23:00
2020-03-11,794,20067004,1967-05-14,280891,12184327,,2020-03-11 23:00
2020-03-11,616,20061014,1953-09-20,44897,12154679,,2020-03-11 23:00
2020-03-11,722,20065001,1985-02-08,318773,12173320,,2020-03-11 23:00
2020-03-11,430,20055009,1969-05-22,376664,12125750,,2020-03-11 23:00
2020-03-11,102,20039025,1986-04-18,412739,12051004,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,786,20066026,1956-01-02,312776,12178760,,2020-03-11 23:00
2020-03-11,939,20072012,1971-12-31,358023,12202597,,2020-03-11 23:00
2020-03-11,811,20067021,1959-02-15,35290,12181227,,2020-03-11 23:00
2020-03-11,695,20064009,1990-08-29,422298,12165906,,2020-03-11 23:00
2020-03-11,97,20039017,1978-05-25,8328,12051158,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,70,20038007,1963-06-13,329300,12047256,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,703,20064017,1950-12-03,38989,12167362,,2020-03-11 23:00
2020-03-11,532,20058017,1969-06-13,327539,12140065,,2020-03-11 23:00
2020-03-11,1,20030022,1955-07-14,45154,12009363,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,208,20046002,1965-03-02,286561,12086005,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,387,20053028,1987-10-04,416379,12117787,,2020-03-11 23:00
2020-03-11,257,20049006,1963-04-28,424564,12094968,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,672,20063020,1960-06-29,364886,12163362,,2020-03-11 23:00
2020-03-11,516,20057049,1984-10-13,13033,12136039,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,109,20039039,1958-04-27,26213,12050556,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,484,20057016,1957-06-08,416603,12132902,,2020-03-11 23:00
2020-03-11,407,20054019,1966-01-15,305615,12121026,,2020-03-11 23:00
2020-03-11,17,20036004,1969-05-05,411294,12037757,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,920,20071030,1960-03-29,10933,12197817,,2020-03-11 23:00
2020-03-11,526,20058011,1952-03-05,407251,12137252,,2020-03-11 23:00
2020-03-11,327,20051036,1987-04-18,378513,12103634,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,533,20058018,1945-02-22,283312,12138569,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,570,20059027,1977-08-12,18515,12142401,,2020-03-11 23:00
2020-03-11,445,20056015,1970-04-16,22092,12126558,,2020-03-11 23:00
2020-03-11,601,20060025,1959-10-05,340532,12148945,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,383,20053024,1974-03-21,419357,12116911,,2020-03-11 23:00
2020-03-11,283,20050023,1983-12-22,351783,12101814,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,955,20072028,1974-04-18,376406,12204196,,2020-03-11 23:00
2020-03-11,934,20072007,1975-11-06,409068,12202442,,2020-03-11 23:00
2020-03-11,34,20036027,1983-08-03,396103,12036683,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,16,20036003,1982-04-06,10243,12039300,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,517,20057050,1963-07-17,359330,12132856,,2020-03-11 23:00
2020-03-11,800,20067010,1993-08-02,360436,12182375,,2020-03-11 23:00
2020-03-11,333,20052001,1959-09-20,401025,12112759,,2020-03-11 23:00
2020-03-11,166,20043036,1994-07-11,424419,12070193,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,238,20047004,1957-02-01,331236,12088803,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,272,20050011,1979-02-02,38117,12103325,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,132,20042011,1953-12-07,33766,12063663,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,413,20054025,1981-05-19,6830,12120489,,2020-03-11 23:00
2020-03-11,784,20066024,1965-09-05,46814,12179928,,2020-03-11 23:00
2020-03-11,559,20059015,1963-07-20,27918,12143516,,2020-03-11 23:00
